arm,rep,problem,solved,proof_lines,proof_decls,checks_pre_nudge,end,nudges,gave_up,ever_green_full,cost_full_first_green,spend_full,turns,tokens_in,tokens_out,tokens_cache_read,lean_check,check_snippet,grep_mathlib,search_mathlib,read,write,edit,spawn_calls,workers,worker_spend,add_fact,add_fact_workers,compactions
base,2,fatex_37,0,,,98,budget_exceeded,1,1,0,,1.00334,522,857555,888175,226640512,203,0,0,0,68,2,246,0,0,0.00000,0,0,1
base,2,fatex_38,1,177,16,23,completed,0,0,1,0.08183,0.08396,53,44114,206185,7160064,23,0,0,0,11,17,5,0,0,0.00000,0,0,0
base,2,fatex_39,1,601,8,59,completed,0,0,1,0.22694,0.23130,126,206772,329327,39337216,59,0,0,0,9,59,0,0,0,0.00000,0,0,0
base,2,fatex_40,1,572,12,69,completed,0,0,1,0.44643,0.45606,169,177381,673895,86620672,69,0,0,0,29,50,21,0,0,0.00000,0,0,0
base,2,fatex_41,0,,,116,budget_exceeded,20,0,0,,1.00143,443,465846,1278215,206540288,116,0,0,0,114,15,175,0,0,0.00000,0,0,1
base,2,fatex_42,1,1996,88,118,completed,1,0,1,0.63937,0.66026,323,197943,720289,153880576,120,0,0,0,49,38,116,0,0,0.00000,0,0,0
base,2,fatex_43,0,,,27,completed,13,1,0,,0.15870,129,145702,252171,24177536,53,0,0,0,16,51,0,0,0,0.00000,0,0,0
base,2,fatex_44,0,,,121,budget_exceeded,0,0,0,,1.00206,396,544186,1254903,205177216,121,0,0,0,94,7,171,0,0,0.00000,0,0,1
base,2,fatex_45,0,,,70,budget_exceeded,16,1,0,,1.00294,366,585473,1309352,197984000,151,0,0,0,31,19,148,0,0,0.00000,0,0,1
base,2,fatex_46,1,811,20,46,completed,0,0,1,0.26127,0.26484,116,124369,455206,42846592,46,0,0,0,26,9,38,0,0,0.00000,0,0,0
base,2,fatex_47,0,,,142,budget_exceeded,0,0,0,,1.00079,417,769529,1066805,212269312,143,0,0,0,90,9,175,0,0,0.00000,0,0,1
base,2,fatex_48,1,319,13,16,completed,0,0,1,0.09296,0.09647,46,97360,220602,7526528,16,0,0,0,15,11,5,0,0,0.00000,0,0,0
base,2,fatex_49,1,307,8,4,completed,0,0,1,0.06729,0.06939,16,100436,179159,1843328,4,0,0,0,10,3,1,0,0,0.00000,0,0,0
base,2,fatex_50,0,,,148,budget_exceeded,1,0,0,,1.00218,370,373659,1573132,181923584,148,0,0,0,46,50,125,0,0,0.00000,0,0,1
base,2,fatex_51,1,118,6,24,completed,1,0,1,0.05669,0.06104,66,101234,113210,5415680,25,0,0,0,14,24,2,0,0,0.00000,0,0,0
base,2,fatex_52,1,489,5,26,completed,0,0,1,0.16767,0.17064,75,115095,349219,20266368,26,0,0,0,26,14,15,0,0,0.00000,0,0,0
base,2,fatex_53,1,1935,106,140,completed,2,0,1,0.83563,0.86794,433,453010,1099639,177362816,145,0,0,0,114,15,156,0,0,0.00000,0,0,1
base,2,fatex_54,1,103,2,10,completed,0,0,1,0.04005,0.04213,25,42073,111768,1767040,10,0,0,0,4,2,8,0,0,0.00000,0,0,0
base,2,fatex_55,1,531,2,28,completed,1,0,1,0.25633,0.26719,103,217928,438259,40700928,29,0,0,0,45,7,26,0,0,0.00000,0,0,0
base,2,fatex_56,0,,,95,budget_exceeded,2,0,0,,1.00040,273,422445,1994525,136709248,96,0,0,0,47,9,120,0,0,0.00000,0,0,1
base,2,fatex_57,1,330,5,14,completed,0,0,1,0.09830,0.10103,34,82110,253582,6617472,14,0,0,0,4,11,4,0,0,0.00000,0,0,0
base,2,fatex_58,0,,,139,budget_exceeded,1,0,0,,1.01052,368,586176,1396158,191975040,139,0,0,0,38,50,139,0,0,0.00000,0,0,1
base,2,fatex_59,1,528,32,28,completed,2,0,1,0.12311,0.14481,80,78848,316758,16098304,31,0,0,0,16,23,7,0,0,0.00000,0,0,0
base,2,fatex_61,0,,,72,budget_exceeded,1,1,0,,1.00172,420,504198,1371200,195426048,177,0,0,0,38,73,133,0,0,0.00000,0,0,1
base,2,fatex_62,0,,,168,budget_exceeded,0,0,0,,1.00100,514,557611,1178332,211784960,168,0,0,0,114,58,176,0,0,0.00000,0,0,1
base,2,fatex_64,1,1197,84,132,completed,1,0,1,0.76786,0.77909,393,463379,857526,169326336,134,0,0,0,84,25,146,0,0,0.00000,0,0,1
base,2,fatex_65,0,,,89,completed,37,1,0,,0.91298,536,332579,971707,212265856,221,0,0,0,34,25,221,0,0,0.00000,0,0,1
base,2,fatex_66,0,,,144,budget_exceeded,1,1,0,,1.00089,415,484381,1500544,183188864,159,0,0,0,65,8,188,0,0,0.00000,0,0,1
base,2,fatex_67,1,371,17,15,completed,0,0,1,0.09680,0.09987,39,46197,267796,6577536,15,0,0,0,10,11,4,0,0,0.00000,0,0,0
base,2,fatex_68,1,440,9,37,completed,1,0,1,0.21547,0.22679,107,213348,391987,31131904,38,0,0,0,24,24,21,0,0,0.00000,0,0,0
base,2,fatex_69,0,,,132,budget_exceeded,2,0,0,,1.00152,368,553274,1523602,177663360,132,0,0,0,43,97,90,0,0,0.00000,0,0,2
base,2,fatex_70,1,58,1,6,completed,0,0,1,0.01671,0.01737,18,29258,43150,424064,6,0,0,0,7,5,1,0,0,0.00000,0,0,0
base,2,fatex_71,0,,,54,completed,40,1,0,,0.65876,312,305087,679770,152040576,118,0,0,0,34,14,107,0,0,0.00000,0,0,0
base,2,fatex_72,0,,,56,completed,20,1,0,,0.84808,428,528596,833625,193093504,174,0,0,0,44,7,183,0,0,0.00000,0,0,1
base,2,fatex_73,0,,,71,budget_exceeded,21,1,0,,1.00036,597,474984,1032255,230297216,234,0,0,0,49,7,285,0,0,0.00000,0,0,1
base,2,fatex_74,0,,,27,completed,16,1,0,,0.18511,134,70281,345040,28091264,42,0,0,0,9,16,50,0,0,0.00000,0,0,0
base,2,fatex_76,1,598,14,49,completed,1,0,1,0.25407,0.26298,114,159487,484018,37545344,49,0,0,0,15,45,6,0,0,0.00000,0,0,0
base,2,fatex_78,0,,,72,completed,53,1,0,,0.58958,316,351943,506158,142351616,130,0,0,0,45,9,88,0,0,0.00000,0,0,0
base,2,fatex_79,0,,,39,completed,11,1,0,,0.28346,199,258515,307464,57563392,83,0,0,0,21,26,62,0,0,0.00000,0,0,0
base,2,fatex_80,0,,,70,completed,16,1,0,,0.73340,390,365351,813349,162325120,156,0,0,0,43,2,174,0,0,0.00000,0,0,1
base,2,fatex_82,0,,,27,completed,13,1,0,,0.19425,115,267216,286979,27316992,41,0,0,0,19,28,14,0,0,0.00000,0,0,0
base,2,fatex_83,0,,,51,completed,8,1,0,,0.41305,177,207749,612030,75926400,81,0,0,0,12,44,33,0,0,0.00000,0,0,0
base,2,fatex_84,1,200,4,13,completed,0,0,1,0.05709,0.05901,32,38490,158245,3326336,13,0,0,0,8,10,3,0,0,0.00000,0,0,0
base,2,fatex_85,0,,,14,completed,28,1,0,,0.30192,107,53786,622512,42888704,17,0,0,0,8,52,1,0,0,0.00000,0,0,0
base,2,fatex_86,0,,,35,budget_exceeded,8,1,0,,1.00092,536,309209,996816,242330752,475,0,0,0,14,41,1,0,0,0.00000,0,0,1
base,2,fatex_87,0,,,17,budget_exceeded,0,0,0,,1.00023,656,413970,1176326,218894848,17,0,0,0,4,626,9,0,0,0.00000,0,0,1
base,2,fatex_88,0,,,305,budget_exceeded,0,0,0,,1.00017,375,362391,755554,263528320,305,0,0,0,16,28,25,0,0,0.00000,0,0,1
base,2,fatex_89,1,1148,45,75,completed,1,0,1,0.55653,0.57632,227,314469,658703,124236288,76,0,0,0,60,13,77,0,0,0.00000,0,0,0
base,2,fatex_90,0,,,95,budget_exceeded,31,1,0,,1.00258,347,742939,1431682,177750400,140,0,0,0,36,37,101,0,0,0.00000,0,0,1
base,2,fatex_91,0,,,74,budget_exceeded,188,1,0,,1.00030,624,482888,1034089,229697664,293,0,0,0,31,40,75,0,0,0.00000,0,0,1
base,2,fatex_92,0,,,36,budget_exceeded,1,1,0,,1.00006,753,323632,346840,306299392,705,0,0,0,12,0,39,0,0,0.00000,0,0,0
base,2,fatex_93,0,,,115,budget_exceeded,1,0,0,,1.00977,363,361008,1570362,185544320,115,0,0,0,69,29,153,0,0,0.00000,0,0,1
base,2,fatex_94,0,,,31,completed,8,1,0,,0.13565,84,43950,357582,10491904,35,0,0,0,13,33,0,0,0,0.00000,0,0,0
base,2,fatex_95,0,,,33,budget_exceeded,3,1,0,,1.00454,305,572198,1550164,175137024,103,0,0,0,49,12,137,0,0,0.00000,0,0,1
base,2,fatex_96,0,,,15,completed,10,1,0,,0.27831,94,85882,566207,38481664,22,0,0,0,6,56,0,0,0,0.00000,0,0,0
base,2,fatex_97,0,,,76,budget_exceeded,3,1,0,,1.03108,279,451807,2133219,132332032,98,0,0,0,39,78,61,0,0,0.00000,0,0,1
